Brands,reviews,recommended,rating
Global Desi,My experience is very bad.The fabric quality is very bad .fitting is also worst.I never recommend global desi to anyone,0,2
Global Desi,I love shopping. I like to buy unique design. ,1,4
Global Desi, many people like this company products because its quality is very nice,1,4
Global Desi, new collection was amazing the designs were so fascinating. ,1,4
Global Desi,I hated the fact that the Kurta  overpriced too.,0,2
Global Desi,Nice fit  and love material ,1,3
Global Desi,super fabric must buy,1,3
Global Desi,worst fabric quality,0,1
Global Desi,  I love the dress.,1,5
Global Desi,Beautiful  and unique color,1,5
,,,
Fabindia,"Clothes are expensive, yet they leave colour, not happy.",0,1
Fabindia,"cloths like Kurta are all very Comfort, soft and airy",1,4
Fabindia,Very Good quality cloths fablous texture,0,1
Fabindia,expensive and bad quality of fabric,0,1
Fabindia,worst and pathetic quality material,0,1
Fabindia,Price of very product is reasonable best quality and sale product in a reasonable price.,1,4
Fabindia,my experience was completely unpleasant,0,2
Fabindia,I like fabindia products.,1,4
Fabindia,"After  wash, the prints completely faded . ",0,1
Fabindia,Nice print .Good material. ,1,3
,,,
Globus,"worst quality waste of money, not buy  jeans",0,2
Globus,"cheap quality and overpriced cloths,not liking ",0,2
Globus,affordable and awesome fabric so comfortable ,1,4
Globus,high price low quality of material,0,1
Globus,excellent brand wide variety of shirts.,1,4
Globus,amazing outlet,1,4
Globus,very expensive not satisfied,0,2
Globus,soft cotton fabric in reasonable price.,1,4
Globus,price worth it up to the mark,1,4
Globus,good will is maintained,1,4
,,,
,,,
Aurelia,product was slightly damaged but it is ok in the price range.,0,1
Aurelia,Itâ€™s worth only that much. Just the brand name . Hand woven design. Thatâ€™s superb ,1,3
Aurelia,Such a pretty piece of clothing.,0,2
Aurelia,Product is good but a bit of dull and color may be washed off a little after multiple washing.,1,5
Aurelia,Very nice Kurta. I liked it's fitting. It gives very smart look. Go for it. Fabric is very nice. Very comfortable in summers,1,5
Aurelia,superb quality of cotton kurta ,1,5
Aurelia,Best buy till now satisfied.,1,5
Aurelia,Size is uncomfortable. Quality is nice,1,5
Aurelia,I dislike the product not happy.,0,2
Aurelia,It won't last longer. Quality is bad.,0,2
,,,
W for Woman,the dress was a pathetic Very disappointing.,0,2
W for Woman,sadly the quality of material is decreasing day by day. ,0,2
W for Woman,And it was like I was in wonderland  I couldnâ€™t believe what I saw  the cuts.the colour the prints  they were mindblowing. ,1,4
W for Woman,W is the best brand for woman.In the W brand the clothes are very good in quality,1,4
W for Woman,The feel and the texture of the kurtis is so unique that it cannot be matched with any other brand ,1,4
W for Woman,Products are waste. dont buy it. These products can get cheap in the market.,0,2
W for Woman,I don't like W because ethnic wear  are too expensive. It's not worth it.,0,2
W for Woman,They all have wide range of indian wears  I love them .,1,3
W for Woman,It was a horrible experience and I donot recommend buying products from W.,0,1
W for Woman,"very nice quality,fresh and exclusive collection. ",1,5
,,,
Madame,Product is nice and over all gives look elegant.......,1,5
Madame,the material is transparent and the fit is also very bad. Dont buy this product,0,2
Madame,Happy with my purchase and  material quality,1,4
Madame,Fit is proper and looks smart. ,1,4
Madame,Worst color.,1,4
Madame,Amazing fit and comfortable.,0,2
Madame,Very beautiful pattern.,1,5
Madame,Not as expected.,1,5
Madame,Bigger size than ordered.,0,1
Madame,I love the design!,0,1
,,1,4
,,,
,,,
BIBA,Nice fit  and good material too,1,5
BIBA,super fabric must buy,1,5
BIBA,disappointed,0,2
BIBA,Very very nice dress. I love it,1,4
BIBA,"Beautiful color,",1,4
BIBA,Really nice. A must buy!,1,4
BIBA,Cute dress. I love it,1,4
BIBA,Such an amazing color.,1,4
BIBA,Bad fitting,1,4
BIBA,Not good. Bad fitting,0,2
,,0,2
,,,
,,1,4
Bombay Selection,fabric is wonderful.,1,4
Bombay Selection,highly recommended. Must buy,1,4
Bombay Selection,Great color for a saree,1,4
Bombay Selection,amazing ethnic wear,1,4
Bombay Selection,so happy to but it,1,4
Bombay Selection,Best brand for ethnic sarees,1,4
Bombay Selection,Love their traditional wear,1,4
Bombay Selection,Slow delivery. Packaging is too bad and product was okay.,1,4
Bombay Selection,Authentic brand for sarees. Lovely!,0,2
Bombay Selection,Wonderful collection for indian woman,1,3
,,1,3
,,,
Pantloons,Products are waste. dont buy it. These products can get cheap in the market.,0,2
Pantloons,I don't like pantaloons because products are too expensive. The quality is not that great for the price. It's not worth it.,0,2
Pantloons,"They all have wide range of clothing priducts and the best I love with them is, they have trousers for all sizes and fits.",1,4
Pantloons,It was an overall horrible experience and I donot recommend buying products from this store.,0,2
Pantloons,"Worst delivery, very bad, the order is not recieved till now",0,2
Pantloons,I feel very much comfortable in wearing pantaloons kurti.Price of very product is reasonable.They keep best quality and sale product in a reasonable price.,1,5
Pantloons,This shopping experience was completely unpleasant,0,1
Pantloons,I like their products. They last quite longer.,1,4
Pantloons,"After a wash, the prints completely damaged . You cant even use at home.",0,2
Pantloons,Nice print .Good material. Nice fitting,1,4
,,,
,,,
Numero Uno,Best buy till now.,1,3
Numero Uno,Size is uncomfortable. Quality is okay,0,2
Numero Uno,My husband dislike the product very much.,0,2
Numero Uno,It won't last longer. Quality is bad.,0,2
Numero Uno,Perfect fitting,1,4
Numero Uno,Must buy,1,4
Numero Uno,Cool color and trendy,1,4
Numero Uno,Highly recommended.,1,4
Numero Uno,Color of jeans is faded after second wash. Bad Quality,1,4
Numero Uno,Nice fitting,0,2
,,1,4
